"STATION
CODE","NAME OF
MONITORING
LOCATION PRIMARY WATER QUALITY CRITERIA NOTIFIED
UNDER E(P) RULES, 1986",STATE NAME,MIN - TEMPERATURE (°C),MAX - TEMPERATURE (°C),"MIN - DISSOLVED
OXYGEN
(mg/L)","MAX - DISSOLVED
OXYGEN
(mg/L)",MIN - pH,MAX -pH,"MIN - CONDUCTIVITY
(µmhos/cm)","MAX - CONDUCTIVITY
(µmhos/cm)","MIN - BIO-CHEMICAL
OXYGEN
DEMAND
(mg/L)","MAX - BIO-CHEMICAL
OXYGEN
DEMAND
(mg/L)","MIN - NITRATE
(mg/L)","MAX - NITRATE
(mg/L)","MIN - FECAL
COLIFORM
(MPN/100ML)","MAX - FECAL
COLIFORM
(MPN/100ML)","MIN - TOTAL
COLIFORM
(MPN/100ML)","MAX - TOTAL
COLIFORM
(MPN/100ML)","MIN - FECAL
STREPTOCOCCI
1074,RIVER GANGA AT BUXAR,BIHAR,13,32,5.4,11.5,7.5,8.7,197,579,1,2.5,0.3,1.15,790,160000,1100,160000,20,9200,-0.091047625
10113,"RIVER GANGA AT U/S
JAIL GHAT, BUXAR",BIHAR,13,32,5.7,12.5,7.4,8.6,173,540,1,2.6,0.6,0.84,170,160000,260,160000,13,9200,-0.091047625
2551,"RIVER GANGA AT
BUXAR,
RAMREKHAGHAT",BIHAR,14,32,5.2,11.7,7.5,8.4,229,591,1,3.3,0.3,0.8,2700,160000,2700,160000,45,9200,-0.091047625
3113,"RIVER GANGA AT D/S
BUXAR NEAR ROAD
BRIDGE",BIHAR,16,31,5.1,10.9,7.4,8.4,227,598,1,6.4,0.3,0.87,4900,160000,11000,160000,45,9200,-0.091047625
10131,"RIVER GANGA AT U/S
BARAHPUR BINDTOLI",BIHAR,13,31,6.1,11.4,7,8.4,192,459,1,2.9,0.3,1.07,680,160000,1100,160000,40,9200,-0.091047625
30076,"RIVER GANGA AT
MANJHIGHAT(BIHAR)",BIHAR,21,27.2,6.7,9.3,7.4,8,267,632,2.8,4.8,0.3,2.55,2,13000,2,28000,2,2,-0.128091156
10162,"RIVER GANGA AT ARA-CHAPRA ROAD BRIDGE
(KOILWER BANURA-CHAPRA ROAD)",BIHAR,14,31,5.6,10.8,7.5,8.2,171,519,1,2.8,0.3,0.62,170,160000,260,160000,2,9400,-0.091047625
2564,"RIVER GANGA AT THE
CONFLUENCE OF SONE
RIVER DORIGANJ,
CHAPRA",BIHAR,13,31,5.9,9.8,7.2,8.2,188,510,1,2.9,0.3,0.6,2300,160000,2300,160000,2,5400,-0.091047625
10114,"RIVER GANGA AT MAA
AMBIKA ASTHAN, AAMI,
SARAN",BIHAR,12,29,5.6,9.9,6.6,8.1,180,532,1,2.8,0.3,0.81,2100,160000,2300,160000,68,5400,-0.091047625
3114,"RIVER GANGA NEAR
DANAPUR (NEAR PIPA
PUL) ,PATNA",BIHAR,16,31,3.9,11.2,7,8.4,167,432,1.1,4,0.3,0.61,200,160000,280,160000,2,9200,-0.091047625
1077,"RIVER GANGA AT KURJI,
PATNA U/S",BIHAR,16,31,5,10,7.1,8.4,201,472,1.2,4,0.3,1.15,3300,540000,4600,540000,7,3500,-0.091047625
2552,"RIVER GANGA AT
GANDHIGHAT, NIT
PATNA",BIHAR,16,30,4.3,8.9,7.2,8.1,185,484,1.2,3,0.3,1.14,92000,160000,92000,160000,170,9200,-0.091047625
10115,"RIVER GANGA AT
GULABI GHAT",BIHAR,16,32,4.4,9.3,7.1,8.2,201,468,1.4,3.2,0.3,0.87,35000,160000,54000,160000,170,9200,-0.091047625
1079,"RIVER GANGA AT PATNA
D/S (GANGA BRIDGE),
GAIGHAT",BIHAR,15,31,4.3,9.9,7.2,8.4,213,440,1.2,3,0.3,0.98,17000,160000,17000,160000,110,9200,-0.091047625
3122,"RIVER GANGA AT
MALSALAMI, PATNA",BIHAR,14,28,6.2,10.1,7.6,8.2,253,458,1.1,2.5,0.3,0.87,3300,160000,4900,160000,170,3500,-0.091047625
4297,"RIVER GANGA AT
KACHCHI-DARGAH-BIDUPUR ROAD BRIDGE,
PATNA",BIHAR,14,31,4.5,11.6,7.3,8.3,194,453,1.2,3,0.3,0.95,13000,160000,17000,160000,110,9200,-0.091047625
10122,"RIVER GANGA AT
TRIVENI GHAT, PATNA",BIHAR,14,30,4.5,12.6,7.3,8.3,201,450,1.3,3,0.3,0.86,1100,160000,3300,160000,2,5400,-0.091047625
4301,"RIVER GANGA AT
BAKHTIYARPUR-TAJPUR
BRIDGE ON GANGA,
ATHMALGOLA",BIHAR,14,30,6.7,11.3,7,8.2,196,481,1,2.2,0.3,0.74,1300,160000,1700,160000,2,35000,-0.091047625
2553,"RIVER GANGA AT
KEWALA GHAT,FATUHA,
PATNA",BIHAR,14,32,5.3,8.9,7.2,8.4,165,481,1.8,4.1,0.3,1,3300,160000,7000,160000,130,24000,-0.091047625
3115,RIVER GANGA AT BARH,BIHAR,14,30,5.6,11.4,7.4,8.2,188,661,1,3,0.3,0.81,1700,160000,2100,160000,20,3500,-0.091047625
10130,"RIVER GANGA AT D/S
NAWADAGHAT , BARH
,PATNA",BIHAR,14,32,5.2,12.6,7.3,8.4,186,433,1,2.7,0.3,1,680,160000,780,160000,2,3500,-0.091047625
1817,"RIVER GANGA AT
MOKAMA (U/S),
MAHADEO ASTHAN,
PATNA",BIHAR,13,32,5.7,12.3,7.2,8.6,192,453,1,2.8,0.3,0.9,1300,160000,2200,160000,20,3500,-0.091047625
1815,"RIVER GANGA AT
MOKAMA (D/S)",BIHAR,15,29,5.9,11.5,7.4,8.6,189,426,1,7.9,0,0.74,780,160000,780,160000,2,5400,-0.091047625
3123,"RIVER GANGA AT
BARAHIYA, NEPALITOLA,
MARANCHI,
;LAKSHISARAI",BIHAR,14,32,5.4,12.8,7.2,8.6,191,457,1.1,2.8,0.3,0.9,2300,160000,2600,170000,2,5400,-0.091047625
3116,"RIVER GANGA AT U/S
MUNGER (NEAR INTAKE
WELL ON GANGA)",BIHAR,17,30,5.4,11.1,7.2,8.5,154,431,1.1,2.8,0.3,0.74,1700,160000,4600,160000,2,3500,-0.091047625
1818,"RIVER GANGA AT
MUNGER",BIHAR,17,30,5.6,10.5,7.3,8.6,169,430,1.1,3.2,0.3,0.73,1100,160000,1700,160000,2,1300,-0.091047625
3117,"RIVER GANGA AT U/S
SULTANGANJ,
BHAGALPUR",BIHAR,17,29,6.4,10.4,7.3,8.4,170,443,1,2.3,0.3,0.9,2200,160000,2600,160000,20,5400,-0.091047625
4398,"RIVER GANGA AT WATER
INTAKE POINT,
BHAGALPUR",BIHAR,15,30,5.8,9.8,7.3,8.6,196,1080,1.6,3.2,0.3,1.2,6300,160000,6300,160000,20,5400,-0.091047625
2554,"RIVER GANGA AT
SULTANGANJ,
BHAGALPUR",BIHAR,17,29,6.3,10.8,7.3,8.5,196,439,1.4,2.9,0.3,35.1,4900,160000,4900,160000,40,2700,-0.091047625
10138,"RIVER GANGA AT
CHAMPANAGAR,
BHAGALPUR",BIHAR,15,29,5.6,9.5,7.5,8.5,191,421,1,4.2,0.3,26,1300,160000,2700,160000,20,9200,-0.091047625
1819,"RIVER GANGA AT
BHAGALPUR",BIHAR,15,30,6.1,11.1,7.5,8.4,190,437,1,3,0.3,0.65,1700,160000,3300,160000,2,3500,-0.091047625
3118,"RIVER GANGA AT U/S
BHAGALPUR NEAR
BARARIGHAT",BIHAR,15,30,3.7,10,7.1,8.5,173,1010,1.8,6.6,0.3,1,3400,160000,34000,160000,130,5400,-0.091047625
1816,"RIVER GANGA AT
KAHALGAON",BIHAR,14,31,6.2,10.1,7.1,8.3,194,453,1,2.8,0.3,0.66,1400,160000,1700,160000,2,5400,-0.091047625
10143,"RIVER GANGA D/S NEAR
CREMATION GHAT",BIHAR,14,29,6,10.6,3.5,8.4,160,434,1.2,2.6,0.3,1.06,1700,160000,1700,160000,2,9200,-0.091047625
10144,"RIVER GANGA U/S NEAR
LCT GHAT",JHARKHAND,16,35,6.5,7.6,7.5,7.7,300,316,1.2,2.2,-,-,-,-,-,-,-,-,-0.128091156
10145,"RIVER GANGA D/S NEAR
JANTA GHAT",JHARKHAND,17,35,6.4,7.6,7.5,7.8,300,316,1.2,2.4,-,-,-,-,-,-,-,-,-0.128091156
10146,"RIVER GANGA AT SANGI
DALAN",JHARKHAND,15,34,6.6,7.6,7.4,7.8,290,334,1.2,1.6,-,-,-,-,-,-,-,-,-0.128091156
1059,"RIVER GANGA AT
RAJMAHAL, JHARKHAND",JHARKHAND,16,33,6.4,7.8,7.4,7.6,280,320,1.2,1.6,-,-,-,-,-,-,-,-,-0.128091156
1080,"RIVER GANGA AT
BAHARAMPORE,
MURSHIDABAD, WEST
BENGAL",WEST BENGAL,18,32,5.1,9.8,7.4,8.5,223,437,1.1,3.8,0.32,0.93,7000,170000,11000,280000,490,2400,-0.083275836
10159,"RIVER GANGA AT
BEHRAMPORE(KHAGRA),
MURSHIDABAD",WEST BENGAL,18,32,5.2,9.7,7.7,8.4,230,418,1.4,4,0.32,0.92,3300,220000,4900,540000,230,2400,-0.083275836
10160,"RIVER GANGA AT
BEHRAMPORE, (GORA
BAZAR),MURSHIDABAD",WEST BENGAL,18,32,5.1,9.7,7.5,8.4,214,980,1.1,3.8,0.32,0.93,3300,130000,4600,170000,130,1700,-0.083275836
2506,"RIVER TRIBENI ON
GANGA, NEAR BURNING
GHAT, HOOGHLY",WEST BENGAL,19,33,4.6,9.4,7.4,8.6,217,443,1.4,4.7,0.32,0.96,2300,94000,3300,140000,120,1700,-0.083275836
2511,"RIVER NABADIP ON
GANGA, GHOSHPARA
NEAR
MONIPURGHAT,NADIA",WEST BENGAL,17,33,5,9.6,7.1,8.5,208,424,1.4,4.2,0.32,0.98,2200,49000,4900,94000,110,1300,-0.083275836
10161,"RIVER GANGA AT PALTA,
SHITALTALA,",WEST BENGAL,19,34,3.5,9.9,7.3,8.4,210,443,2.6,4.7,0.32,0.97,33000,350000,49000,700000,1100,5400,-0.083275836
1054,"RIVER GANGA AT PALTA
WEST BENGAL",WEST BENGAL,19,34,3.2,9.8,7.5,8.3,184,426,1.5,4.1,0.32,0.97,4900,240000,7900,350000,460,2200,-0.083275836
1472,"RIVER GANGA AT
SERAMPORE,
HOOGHLY,WEST BENGAL",WEST BENGAL,19,34,3.2,9.5,7.2,8.5,222,467,1.1,4.5,0.32,0.97,1300,240000,2300,350000,110,1700,-0.083275836
1053,"RIVER GANGA AT
DAKSHMINESHWAR,
KOLKATA, WEST BENGAL",WEST BENGAL,19,34,4,7.7,7,8,223,506,1.8,4,0.32,1.59,31000,110000,79000,240000,78,350,-0.083275836
1471,"RIVER GANGA AT
HOWRAH-SHIVPUR
WEST BENGAL",WEST BENGAL,21,33,4,7.8,7,8,183,455,1.7,3.9,0.32,1.3,13000,79000,49000,220000,68,270,-0.083275836
1470,"RIVER GANGA AT
GARDEN REACH,
KOLKATA, WEST BENGAL",WEST BENGAL,19,35,4,7.8,7.1,8,204,454,1.7,3.6,0.32,1.81,23000,79000,49000,220000,78,350,-0.083275836
1052,"RIVER GANGA AT
ULUBERIA ,
HOWRAH,WEST BENGAL",WEST BENGAL,19,31,4.1,7.8,7,7.8,238,497,1.2,4,0.32,1.62,4500,79000,7800,130000,23,220,-0.083275836
1335,"RIVER GANGA AT
PATIKALI NEAR DURGA
CHAK WEST BENGAL",WEST BENGAL,19,32,5,7.6,6.4,7.6,298,32730,1.3,2.5,0.48,2.35,7900,22000,11000,54000,110,270,-0.083275836
1469,"RIVER GANGA AT
DIAMOND HARBOUR, 24
PARGANAS (S)WEST
BENGAL",WEST BENGAL,23,34,4,7.4,7,7.8,204,6625,1.1,3.6,0.32,2.68,2300,7800,7000,14000,2,78,-0.083275836
